"Type.of.feeding.interaction","slope","intercept","R_Square","F_statistic","p_value"
"insectivorous",0.384249046154572,0.946030011005037,0.125577629410638,4.3083628793485,NA
"piscivorous",0.186983761525865,7.40641715751319,0.0385936737839435,833.889234606193,NA
"planktivorous",0.76771351464885,6.5964083449183,0.673781511770302,3236.52909641541,NA
"predacious",0.742015009453197,7.30219540847852,0.742954828064901,35817.4252411356,NA
"predacious/piscivorous",0.531028610582127,4.78378800257579,0.341154098535761,82.3310906945516,NA
