"Feeding_Type","Mean_Predator_Mass","Median_Predator_Mass","Mean_Prey_Mass","Median_Prey_Mass","Mean_Size_Ratio","Median_Size_Ratio"
"predacious/piscivorous",9.63158055440926,7.46737106691756,3.34681796409807,0.398776119957368,-2.93525469330896,-7.11597318007967
"piscivorous",9.63158055440926,7.46737106691756,3.34681796409807,0.398776119957368,-2.93525469330896,-7.11597318007967
"planktivorous",9.63158055440926,7.46737106691756,3.34681796409807,0.398776119957368,-2.93525469330896,-7.11597318007967
"predacious",9.63158055440926,7.46737106691756,3.34681796409807,0.398776119957368,-2.93525469330896,-7.11597318007967
"insectivorous",9.63158055440926,7.46737106691756,3.34681796409807,0.398776119957368,-2.93525469330896,-7.11597318007967
